wdcd,longitude,latitude
E05001433,-1.54266,53.75389862
E05001434,-1.55241001,53.83840179
E05001435,-1.62574005,53.75650024
E05001436,-1.60496998,53.73379898
E05001437,-1.68134999,53.88489914
E05001438,-1.67474997,53.79309845
E05001439,-1.45650005,53.74620056
E05001440,-1.50372005,53.83349991
E05001441,-1.46423995,53.78950119
E05001442,-1.59742999,53.84069824
E05001443,-1.35285997,53.90069962
E05001620,-2.46219993,53.74980164
E05001621,-2.47728992,53.75899887
E05001622,-2.50948,53.76089859
E05001623,-2.50023007,53.75379944
E05001624,-2.48531008,53.70920181
E05001625,-2.43688011,53.70959854
E05001626,-2.4921701,53.73339844
E05001627,-2.48492002,53.72129822
E05001628,-2.47168994,53.72909927
E05001629,-2.46246004,53.7641983
E05001630,-2.53389001,53.73630142
E05001631,-2.44459009,53.68519974
E05001632,-2.51079988,53.72589874
E05001633,-2.50184989,53.73699951
E05001634,-2.4084301,53.66600037
E05001635,-2.45215988,53.73120117
E05001636,-2.48580003,53.77019882
E05001637,-2.44851995,53.74380112
E05001638,-2.48243999,53.74990082
E05001639,-2.46181989,53.7016983
E05001640,-2.4825201,53.69169998
E05001641,-2.49670005,53.7458992
E05001642,-2.47142005,53.67430115000001
E05001664,-0.36638999,53.75450134
E05001665,-0.35047999,53.77529907
E05001666,-0.39763001,53.74700165
E05001667,-0.31606001,53.80009842
E05001668,-0.32473999,53.7887001
E05001669,-0.38159001,53.76100159
E05001670,-0.40610999,53.75870132
E05001671,-0.32108,53.75220108
E05001672,-0.31233001,53.76959991
E05001673,-0.28617001,53.77640152
E05001674,-0.34707999,53.79560089
E05001675,-0.26521999,53.77550125
E05001676,-0.26636001,53.75139999
E05001677,-0.34808001,53.74530029
E05001678,-0.37926999,53.74459839
E05001679,-0.34777999,53.76259995
E05001680,-0.37544,53.7840004
E05001681,-0.40270001,53.73009872
E05001682,-0.36814001,53.73279953
E05001683,-0.28529,53.75889969
E05001684,-0.30148,53.75619888000001
E05001685,-0.30311999,53.78440094
E05001686,-0.37215999,53.77539825
E05002763,-0.30892,52.30849838
E05002767,-0.36219999,52.52939987
E05002769,-0.17395,52.30550003
E05002771,-0.16602001,52.33760071
E05002772,-0.17757,52.34939957
E05002779,-0.08638,52.33729935
E05002781,-0.28705001,52.21429825
E05002784,-0.29958001,52.43099976
E05002786,-0.24875,52.48820114
E05002790,-0.21208,52.51900101
E05002791,0.32623401,52.14459991
E05002792,0.016784,52.2480011
E05002793,0.060057,52.2018013
E05002794,-0.06285,52.0807991
E05002795,-0.073,52.20249939
E05002796,-0.02616,52.19049835
E05002797,0.025575,52.19490051
E05002798,0.113933,52.28540039
E05002799,0.14815301,52.07720184
E05002800,0.072574,52.09270096
E05002801,0.22216301,52.17770004
E05002802,-0.14531,52.14960098
E05002803,0.072049,52.23460007
E05002804,0.000666,52.2052002
E05002805,0.088041,52.14220047000001
E05002806,0.021702,52.15790176
E05002807,0.111916,52.25009918
E05002808,0.28056601,52.10329819
E05002809,0.046398,52.28160095
E05002810,0.050767,52.05319977
E05002811,0.005906,52.09889984
E05002812,0.160916,52.2439003
E05002813,0.00054,52.13619995
E05002814,-0.1054,52.25130081
E05002815,0.162,52.12689972
E05002816,-7.000000000000001e-05,52.29470062
E05002817,0.195815,52.20009995
E05002818,0.212594,52.12220001
E05002819,-0.11687,52.06430054
E05002820,0.135278,52.14709854
E05002821,0.208157,52.21789932
E05002822,0.18986,52.27959824
E05002823,0.107527,52.09740067
E05002824,0.057318,52.3227005
E05003235,-3.04078007,54.44079971
E05003236,-2.7809999,54.20410156
E05003237,-3.1765399,54.29470062
E05003238,-2.75013995,54.36370087
E05003239,-2.68839002,54.19319916
E05003240,-2.94622993,54.18310165
E05003241,-3.05862999,54.38330078
E05003242,-2.72999001,54.26129913
E05003243,-2.90232992,54.20069885
E05003244,-2.92442012,54.18439865
E05003245,-3.01588988,54.33340073
E05003246,-2.9939599,54.20090103
E05003247,-2.7204299,54.32400131
E05003248,-2.72211003,54.33599854000001
E05003249,-2.75560999,54.33129883
E05003250,-2.73090005,54.3158989
E05003251,-2.76056004,54.32229996
E05003252,-2.74991012,54.31999969
E05003253,-2.73744011,54.34209824
E05003254,-2.73453999,54.32419968
E05003255,-2.73318005,54.29909897
E05003256,-2.72780991,54.31169891
E05003257,-2.74486995,54.31420135
E05003258,-2.75609994,54.31380081
E05003259,-2.75042009,54.34209824
E05003260,-2.75658989,54.33879852
E05003261,-2.78039002,54.27410126
E05003262,-3.12666011,54.13330078
E05003263,-2.83845997,54.2745018
E05003264,-3.09963012,54.22629929
E05003265,-2.7686801,54.22930145
E05003266,-2.48018003,54.30270004
E05003267,-2.92519999,54.26979828
E05003268,-2.85085011,54.40309906
E05003269,-3.07940006,54.18190002
E05003270,-3.07169008,54.19240189
E05003271,-3.08977008,54.2030983
E05003272,-3.08726001,54.17760086
E05003273,-3.09211993,54.19480133
E05003274,-3.10738993,54.1855011
E05003275,-2.65073991,54.37559891
E05003276,-2.90848994,54.42630005
E05003277,-2.90268993,54.36589813
E05003278,-2.93568993,54.34590149
E05003279,-2.88807011,54.37239838
E05003929,0.52969098,50.88249969
E05003930,0.59246898,50.87549973
E05003931,0.57333499,50.8628006
E05003932,0.58497602,50.85929871
E05003933,0.56197298,50.85390091
E05003934,0.56903398,50.88130188
E05003935,0.55889499,50.86019897000001
E05003936,0.539083,50.87689972
E05003937,0.54656303,50.85770035
E05003938,0.59872299,50.8614006
E05003939,0.62695497,50.87220001
E05003940,0.57647699,50.87319946
E05003941,0.56129402,50.87049866
E05003942,0.59837198,50.86809921
E05003943,0.52405602,50.85850143
E05003944,0.54607201,50.86949921
E05004497,-1.31608999,50.9654007
E05004498,-1.32998002,50.96969986
E05004499,-1.28224003,50.90950012
E05004500,-1.31587005,50.89569855
E05004501,-1.37550998,50.98239899
E05004502,-1.38495004,50.98279953
E05004503,-1.35398996,50.96609879
E05004504,-1.35704994,50.98770142
E05004505,-1.36482,50.95709991
E05004506,-1.28854001,50.96419907
E05004507,-1.33053994,50.87210083
E05004508,-1.29464996,50.92520142
E05004509,-1.30884004,50.90810013
E05004510,-1.30763996,50.91949844000001
E05004511,-1.36926997,50.99300003
E05004512,-1.38626003,50.99729919
E05004513,-1.35233998,50.87850189
E05004514,-1.32521999,50.94120026
E05004515,-1.32939994,50.92419815
E05006238,-1.52309,54.01459885
E05006239,-1.53476,54.08599854000001
E05006240,-1.37052,54.08349991
E05006241,-1.43402004,54.05089951
E05006242,-1.51545,53.99819946
E05006243,-1.56456006,53.99010086
E05006244,-1.53095996,53.99549866
E05006245,-1.50382996,53.98500061
E05006246,-1.57190001,54.03559875
E05006247,-1.66602004,54.14559937
E05006248,-1.43461001,54.01779938
E05006249,-1.46176004,54.00099945
E05006250,-1.47385001,54.01979828
E05006251,-1.54261994,53.99359894
E05006252,-1.64460003,54.04219818
E05006253,-1.27939999,53.93809891
E05006254,-1.75400996,54.21360016
E05006255,-1.41218996,54.1106987
E05006256,-1.54709995,54.00669861
E05006257,-1.78116,54.04980087
E05006258,-1.28260005,54.02149963
E05006259,-1.53752995,53.96440125
E05006260,-1.85933995,54.14049911
E05006261,-1.39470994,53.98659897
E05006262,-1.51136994,54.13420105
E05006263,-1.53146994,54.12689972
E05006264,-1.53979003,54.13980103
E05006265,-1.55647004,53.97399902
E05006266,-1.56843996,54.00170135
E05006267,-1.48072004,53.94049835
E05006268,-1.49818003,54.00080109
E05006269,-1.53410006,53.98490143
E05006270,-1.71187997,53.95700073
E05006271,-1.45559001,54.17129898
E05006272,-1.52408004,54.00690079
E05006964,-2.30548,53.06280136
