LSOACD,latitude,longitude,lsoa11cd
S01007106,57.65905360328642,-1.910781512756635,S01007106
S01007107,57.64738368505245,-2.0395398989973006,S01007107
S01007108,57.66982707191377,-2.068280047674939,S01007108
S01007109,57.69535771706292,-2.062272434592048,S01007109
S01007110,57.695393949689866,-2.113453424018148,S01007110
S01007111,57.6979409022114,-2.1178232457427644,S01007111
S01007112,57.68158491915037,-2.0111543501732374,S01007112
S01007113,57.68851041608672,-2.008774911289119,S01007113
S01007114,57.682042315884914,-2.0172583936677104,S01007114
S01007115,57.67947205510457,-2.025154773146193,S01007115
S01007116,57.67727972257266,-2.028271856056658,S01007116
S01007117,57.67959937522182,-2.015513361339952,S01007117
S01007118,57.68270577862697,-2.024570111921532,S01007118
S01007119,57.68367502601011,-2.0285116564436194,S01007119
S01007120,57.689352000378,-2.027610449099164,S01007120
S01007121,57.692130292800606,-2.008222282781834,S01007121
S01007122,57.68994732952972,-2.0117104749450405,S01007122
S01007123,57.68812316872342,-2.018116687349365,S01007123
S01007124,57.68505140726832,-2.016957979053051,S01007124
S01007125,57.69573111959288,-2.0180869882111,S01007125
S01007126,57.69305440490852,-2.018169505625003,S01007126
S01007127,57.69406149651705,-2.0078369203217563,S01007127
S01007128,57.69041301575368,-2.021992368195585,S01007128
S01007129,56.487589032458175,-3.086130342723895,S01007129
S01007130,56.49721728090728,-3.0678552762072333,S01007130
S01007131,56.49659394579098,-3.0598622411783865,S01007131
S01007132,56.49560711638752,-3.053353765981759,S01007132
S01007133,56.50725173311191,-3.022090778178541,S01007133
S01007134,56.52473452318684,-2.9438696964891573,S01007134
S01007135,56.53076374875583,-3.069108114313808,S01007135
S01007136,56.50451523117778,-3.1374021368660725,S01007136
S01007137,56.49646730219257,-2.8956563070181307,S01007137
S01007138,56.51040984216799,-2.883278436751472,S01007138
S01007139,56.52034611054384,-2.862884312377123,S01007139
S01007140,56.53659934318959,-2.8135142863575733,S01007140
S01007141,56.51404994667068,-2.8174511637708526,S01007141
S01007142,56.485901285585726,-2.8364616403497447,S01007142
S01007143,56.50673658515178,-2.7186893267549275,S01007143
S01007144,56.51082529866148,-2.7044189436280144,S01007144
S01007145,56.47679304336104,-2.840173767534352,S01007145
S01007146,56.4794084784627,-2.829337447759604,S01007146
S01007147,56.48108344215252,-2.8287570080898528,S01007147
S01007148,56.48295607045263,-2.837549666761653,S01007148
S01007149,56.484624384515165,-2.827242903665538,S01007149
S01007150,56.48471816252377,-2.82123692167688,S01007150
S01007151,56.486719687103,-2.82559967917467,S01007151
S01007152,56.48637995889832,-2.810344253949817,S01007152
S01007153,56.48644014155314,-2.814876111342464,S01007153
S01007154,56.480850355797365,-2.8164773247209296,S01007154
S01007155,56.48299553937394,-2.811311278219943,S01007155
S01007156,56.49923148021136,-2.743660491887109,S01007156
S01007157,56.49755507215055,-2.7415485374412585,S01007157
S01007158,56.49680484579444,-2.736271182245327,S01007158
S01007159,56.49897480091366,-2.730904036184191,S01007159
S01007160,56.50194192673225,-2.728979227281703,S01007160
S01007161,56.49822963521742,-2.72314153610635,S01007161
S01007162,56.499461982041545,-2.715124194478193,S01007162
S01007163,56.50210745694503,-2.7237189643787656,S01007163
S01007164,56.50219569378783,-2.714688307530358,S01007164
S01007165,56.50172484898635,-2.7090586777005656,S01007165
S01007166,56.50322934672781,-2.6988195245580298,S01007166
S01007167,56.50552474026444,-2.6980331847196197,S01007167
S01007168,56.50856826063385,-2.701598680065443,S01007168
S01007169,56.50670056904971,-2.712465992885816,S01007169
S01007170,56.578944353029215,-2.744297173725549,S01007170
S01007171,56.57482739226802,-2.632772452524335,S01007171
S01007172,56.58507725607251,-2.600349963840217,S01007172
S01007173,56.57490874776073,-2.6037695450495897,S01007173
S01007174,56.57201825177847,-2.601428699205975,S01007174
S01007175,56.56311883959458,-2.611700986461226,S01007175
S01007176,56.56361578325742,-2.60746217752873,S01007176
S01007177,56.56055895616183,-2.60975606680413,S01007177
S01007178,56.56005087202918,-2.612595116551484,S01007178
